id;cian_id;realty_type;project_type;heat_type;gas_type;is_apartment;is_penthouse;is_mortgage_allowed;is_premium;is_emergency;renovation_programm;finish_date;created_at;updated_at
75;211463786;flat;;none;unknown;True;;False;False;False;False;{'year': 2009, 'quarter': 3};2024-10-28 22:52:22.187003;2024-11-01 14:43:39.349678
76;211521310;flat;;none;unknown;False;;False;False;False;False;{'year': 2008, 'quarter': 3};2024-10-28 22:52:38.983149;2024-11-01 14:43:40.006939
77;211524760;flat;Индивидуальный проект;central;unknown;False;False;True;False;False;False;{'year': 2017, 'quarter': 1};2024-10-28 22:52:59.663905;2024-10-28 22:52:59.663905
78;211851806;flat;Индивидуальный проект;itp;without;False;False;True;False;False;False;{'year': 2014, 'quarter': 4};2024-10-28 22:53:20.642405;2024-11-01 14:44:41.307996
79;211905568;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 22:53:49.486244;2024-11-01 14:44:42.075837
80;212568784;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:54:17.502359;2024-11-01 14:44:48.467633
81;215547130;flat;Индивидуальный проект;central;unknown;False;;True;False;False;False;;2024-10-28 22:54:32.413066;2024-11-01 14:44:49.399196
82;216269282;flat;Индивидуальный проект;central;central;False;False;True;False;False;False;;2024-10-28 22:54:52.915985;2024-11-01 14:44:50.411639
83;217701600;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:55:23.503080;2024-11-01 14:44:51.167279
84;217724612;flat;;central;without;False;;True;False;False;False;{'year': 2013, 'quarter': 4};2024-10-28 22:55:46.495597;2024-11-01 14:44:52.817193
85;217791998;flat;Индивидуальный проект;central;without;False;True;False;False;False;False;{'year': 2007, 'quarter': 4};2024-10-28 22:56:38.276092;2024-11-01 14:44:59.047854
86;217811294;flat;Индивидуальный проект;itp;without;True;False;True;False;False;False;;2024-10-28 22:56:54.831410;2024-11-01 14:45:00.141487
87;217908994;flat;Индивидуальный проект;central;unknown;True;;True;False;False;False;{'year': 2016, 'quarter': 1};2024-10-28 22:57:06.618619;2024-11-01 14:45:02.475701
88;218418212;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 22:57:27.489681;2024-11-01 14:45:03.061996
89;218427491;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:57:41.496896;2024-11-01 14:45:03.994544
90;219584211;flat;Индивидуальный проект;central;without;False;;True;False;False;False;{'year': 2006, 'quarter': 4};2024-10-28 22:58:09.650125;2024-11-01 14:45:09.789022
91;219586445;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;;2024-10-28 22:58:37.487376;2024-11-01 14:45:10.823871
92;220126243;flat;Индивидуальный проект;central;central;;False;True;False;False;False;;2024-10-28 22:59:06.151436;2024-11-01 14:45:13.170281
93;220523527;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;;2024-10-28 22:59:21.724541;2024-11-01 14:45:13.894535
94;220802088;flat;Индивидуальный проект;central;without;False;;False;False;False;False;;2024-10-28 22:59:49.164859;2024-11-01 14:45:14.757665
95;220843185;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:00:16.418351;2024-11-01 14:45:20.306134
96;220858081;flat;Индивидуальный проект;central;unknown;False;;True;False;False;False;;2024-10-28 23:00:42.436746;2024-11-01 14:45:21.514971
97;220912363;flat;;none;unknown;True;;True;False;False;False;{'year': 2015, 'quarter': 4};2024-10-28 23:00:58.640044;2024-11-01 14:45:23.910650
98;221846784;flat;II-18-01/12;central;without;False;;True;False;False;False;;2024-10-28 23:01:12.256704;2024-11-01 14:45:24.907546
99;222475023;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 23:01:25.006402;2024-11-01 14:45:25.772013
100;222491593;flat;;central;central;False;;True;False;False;False;;2024-10-28 23:01:48.492481;2024-11-01 14:45:26.478614
101;222900218;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:02:15.269557;2024-11-01 14:45:31.050018
102;223287010;flat;1-510;central;central;False;;True;False;False;True;;2024-10-28 23:02:27.077852;2024-11-01 14:45:32.249933
