id;cian_id;repair_type;total_area;living_area;kitchen_area;ceiling_height;balconies;loggias;rooms_count;separated_wc;combined_wc;windows_view;created_at;updated_at
70;209082460;no;128.00;70.00;15.00;3.20;;;3;;3;street;2024-10-28 22:45:17.758243;2024-11-01 14:43:28.782021
71;209735944;euro;347.00;165.00;30.00;;;1;6;1;3;;2024-10-28 22:45:32.877279;2024-11-01 14:43:29.420257
72;210047241;no;66.70;32.00;24.00;;0;0;3;0;2;yard;2024-10-28 22:51:03.489249;2024-11-01 14:43:30.249204
73;210880477;cosmetic;63.00;34.00;13.00;2.74;0;2;2;1;0;;2024-10-28 22:51:31.125962;2024-11-01 14:43:37.235024
74;210884814;euro;80.00;51.00;13.00;3.00;0;2;3;1;0;yard;2024-10-28 22:51:53.877841;2024-11-01 14:43:38.454415
75;211463786;design;106.00;;50.00;6.00;0;0;2;0;0;;2024-10-28 22:52:22.187003;2024-11-01 14:43:39.339473
76;211521310;design;111.30;69.20;8.70;;1;;3;;2;yard;2024-10-28 22:52:38.983149;2024-11-01 14:43:39.995905
77;211524760;euro;31.00;12.00;12.00;3.30;0;0;1;0;1;yard;2024-10-28 22:52:59.663905;2024-10-28 22:52:59.663905
78;211851806;no;111.00;63.00;16.00;;;;3;;2;yard;2024-10-28 22:53:20.642405;2024-11-01 14:44:41.297932
79;211905568;cosmetic;92.00;57.00;15.00;;;;3;;;;2024-10-28 22:53:49.486244;2024-11-01 14:44:42.062939
80;212568784;cosmetic;90.20;56.10;13.50;2.75;1;0;4;1;0;yard;2024-10-28 22:54:17.502359;2024-11-01 14:44:48.452547
81;215547130;euro;101.00;;;;;;3;;2;yard;2024-10-28 22:54:32.413066;2024-11-01 14:44:49.382125
82;216269282;euro;54.00;32.00;9.00;;0;1;2;0;1;yardAndStreet;2024-10-28 22:54:52.915985;2024-11-01 14:44:50.398843
83;217701600;design;52.00;32.00;14.00;3.00;;1;2;;1;street;2024-10-28 22:55:23.503080;2024-11-01 14:44:51.151105
84;217724612;euro;73.70;45.00;11.00;;;;3;1;;yard;2024-10-28 22:55:46.495597;2024-11-01 14:44:52.806686
85;217791998;no;685.00;;;4.00;;;;;4;street;2024-10-28 22:56:38.276092;2024-11-01 14:44:59.036468
86;217811294;cosmetic;107.00;;;3.00;0;2;3;2;0;street;2024-10-28 22:56:54.831410;2024-11-01 14:45:00.118787
87;217908994;design;70.00;55.00;15.00;3.00;1;0;2;0;1;yard;2024-10-28 22:57:06.618619;2024-11-01 14:45:02.420758
88;218418212;cosmetic;90.00;65.00;9.00;;;1;4;1;;;2024-10-28 22:57:27.489681;2024-11-01 14:45:03.044484
89;218427491;design;84.00;41.90;17.00;;;1;3;;2;yard;2024-10-28 22:57:41.496896;2024-11-01 14:45:03.982137
90;219584211;no;693.00;350.00;30.00;3.40;2;;;1;3;yardAndStreet;2024-10-28 22:58:09.650125;2024-11-01 14:45:09.776699
91;219586445;euro;60.70;33.80;15.00;;0;0;2;0;0;yard;2024-10-28 22:58:37.487376;2024-11-01 14:45:10.808804
92;220126243;euro;149.00;115.00;14.00;5.00;0;0;4;2;0;street;2024-10-28 22:59:06.151436;2024-11-01 14:45:13.155236
93;220523527;cosmetic;117.50;;;3.05;0;0;5;0;1;yardAndStreet;2024-10-28 22:59:21.724541;2024-11-01 14:45:13.881864
94;220802088;euro;44.00;;21.00;;;;2;;1;;2024-10-28 22:59:49.164859;2024-11-01 14:45:14.745491
95;220843185;euro;65.00;37.00;12.00;3.00;1;1;2;1;0;street;2024-10-28 23:00:16.418351;2024-11-01 14:45:20.295058
96;220858081;cosmetic;61.20;32.60;11.50;3.00;0;1;2;0;1;yard;2024-10-28 23:00:42.436746;2024-11-01 14:45:21.502268
97;220912363;design;85.00;;;;;;2;;2;;2024-10-28 23:00:58.640044;2024-11-01 14:45:23.896288
98;221846784;cosmetic;64.10;47.30;9.20;2.64;2;0;3;2;0;street;2024-10-28 23:01:12.256704;2024-11-01 14:45:24.889908
99;222475023;no;58.00;36.50;9.00;;1;;2;1;;street;2024-10-28 23:01:25.006402;2024-11-01 14:45:25.754986
100;222491593;no;45.10;29.00;6.80;2.65;0;0;2;1;0;yard;2024-10-28 23:01:48.492481;2024-11-01 14:45:26.468416
101;222900218;euro;88.00;50.00;9.00;;;2;3;1;;yard;2024-10-28 23:02:15.269557;2024-11-01 14:45:31.031984
102;223287010;cosmetic;31.00;19.00;5.50;2.48;0;1;1;0;1;street;2024-10-28 23:02:27.077852;2024-11-01 14:45:32.237090
103;224071057;no;73.80;42.00;16.90;;1;0;3;0;0;;2024-10-28 23:02:49.730746;2024-11-01 14:45:34.571858
104;224851545;no;59.90;40.00;7.00;2.50;0;1;3;1;0;yard;2024-10-28 23:03:18.822965;2024-11-01 14:45:35.477202
105;225113692;cosmetic;33.70;15.50;10.50;;1;1;1;0;0;yard;2024-10-28 23:03:42.466666;2024-11-01 14:45:36.441988
106;225701461;cosmetic;36.00;;10.00;2.64;1;0;1;0;0;;2024-10-28 23:04:05.332003;2024-11-01 14:45:37.192237
107;226220370;no;37.00;18.00;8.50;2.64;;1;1;;1;street;2024-10-28 23:09:26.885481;2024-11-01 14:45:41.788317
108;226342793;euro;52.50;30.50;10.00;;1;;2;;1;street;2024-10-28 23:09:45.330341;2024-11-01 14:45:42.894317
109;226541138;cosmetic;70.80;51.10;7.40;2.70;0;0;3;1;0;yard;2024-10-28 23:10:03.756184;2024-11-01 14:45:45.333046
110;226902982;euro;108.00;;17.00;2.64;0;2;4;2;1;street;2024-10-28 23:10:24.553560;2024-11-01 14:45:46.082465
111;226974795;cosmetic;66.60;37.80;9.70;2.65;0;0;3;1;1;yardAndStreet;2024-10-28 23:10:46.350911;2024-11-01 14:45:47.050400
112;227002725;cosmetic;40.00;20.00;9.00;2.64;;1;1;;1;yard;2024-10-28 23:11:13.444317;2024-11-01 14:45:47.768495
113;227446730;euro;43.00;19.00;13.00;;1;;1;;1;yard;2024-10-28 23:11:56.983363;2024-11-01 14:45:52.487019
114;227477881;design;79.80;42.30;13.70;2.70;0;1;2;2;0;yardAndStreet;2024-10-28 23:12:16.851152;2024-11-01 14:45:53.559528
115;227630883;no;110.00;80.00;;3.10;0;0;3;3;;yard;2024-10-28 23:12:41.332926;2024-11-01 14:45:55.926339
116;228103586;euro;160.00;89.80;18.50;2.85;;2;4;2;;yardAndStreet;2024-10-28 23:13:05.475862;2024-11-01 14:45:56.816577
117;228786744;;25.60;;;;0;0;1;0;1;yardAndStreet;2024-10-28 23:13:28.496944;2024-11-01 14:45:57.804630
118;228824975;euro;110.20;80.00;12.00;3.50;;;4;1;1;yard;2024-10-28 23:13:57.884724;2024-11-01 14:45:58.553725
119;228909140;no;111.20;;;3.40;;;3;2;;street;2024-10-28 23:14:26.864911;2024-11-01 14:46:03.182943
120;228935891;no;375.00;;;3.50;;;6;;5;;2024-10-28 23:14:45.931386;2024-11-01 14:46:04.344214
121;229252131;no;182.00;142.00;25.00;3.15;;;4;;;yardAndStreet;2024-10-28 23:15:06.379363;2024-11-01 14:46:06.686800
122;230133401;no;112.00;65.00;21.00;;;;3;;2;yardAndStreet;2024-10-28 23:15:32.163016;2024-11-01 14:46:07.464174
123;230720388;cosmetic;33.00;19.00;6.00;2.64;0;0;1;0;1;yard;2024-10-28 23:15:46.279104;2024-11-01 14:46:08.549557
124;231146699;euro;345.00;;;3.10;;2;6;1;2;yard;2024-10-28 23:16:14.708237;2024-11-01 14:46:09.289085
125;231282993;euro;32.00;27.00;;;1;0;1;0;1;street;2024-10-28 23:16:43.518448;2024-11-01 14:46:13.904346
126;231550821;cosmetic;200.00;120.00;20.00;3.80;;;5;1;3;yardAndStreet;2024-10-28 23:16:58.065612;2024-11-01 14:46:15.163928
127;232658940;design;300.00;;;3.10;;;6;2;2;yard;2024-10-28 23:17:25.138447;2024-11-01 14:46:17.443630
128;232991030;euro;110.30;85.40;6.10;4.20;2;0;4;2;0;yardAndStreet;2024-10-28 23:17:37.930172;2024-11-01 14:46:18.114229
129;234154895;design;152.00;100.00;20.00;;;1;4;;;yardAndStreet;2024-10-28 23:18:07.230800;2024-11-01 14:46:19.250670
130;234280127;design;110.00;76.00;14.00;;;;3;;;yardAndStreet;2024-10-28 23:18:36.189801;2024-11-01 14:46:19.913564
131;234296757;euro;124.60;60.00;20.00;3.00;;2;3;;2;yardAndStreet;2024-10-28 23:19:00.904617;2024-11-01 14:46:24.814982
132;234617100;design;161.00;106.00;27.00;;;;4;;2;yard;2024-10-28 23:19:27.644995;2024-11-01 14:46:26.300413
133;234920513;design;89.00;;;3.10;;1;2;2;;yard;2024-10-28 23:19:40.257003;2024-11-01 14:46:28.223240
134;235048570;euro;363.00;;;;1;0;5;3;;street;2024-10-28 23:20:10.761173;2024-11-01 14:46:29.117932
135;235191953;design;220.00;130.00;15.00;;1;;4;1;2;yardAndStreet;2024-10-28 23:20:34.434167;2024-11-01 14:46:29.922830
136;235565015;no;379.55;;;;4;1;4;;4;yardAndStreet;2024-10-28 23:20:45.230703;2024-11-01 14:46:30.647921
137;235843327;design;207.00;;30.00;3.15;;;3;;;;2024-10-28 23:21:14.771088;2024-11-01 14:46:35.559874
138;235843334;design;156.50;110.00;15.00;3.60;;;3;;;yardAndStreet;2024-10-28 23:21:44.590223;2024-11-01 14:46:36.820269
139;235877802;design;230.00;;;;2;1;6;1;3;yardAndStreet;2024-10-28 23:22:02.030573;2024-11-01 14:46:38.808179
140;236086724;design;140.00;;30.00;;1;;4;1;1;yardAndStreet;2024-10-28 23:22:40.444817;2024-11-01 14:46:39.888382
141;236463021;euro;73.00;38.00;12.00;;0;1;2;1;0;yardAndStreet;2024-10-28 23:23:03.224007;2024-11-01 14:46:40.654054
142;236797984;cosmetic;60.00;41.00;7.00;2.50;;1;3;1;;yard;2024-10-28 23:23:28.669834;2024-10-28 23:23:28.669834
143;236960194;no;170.00;75.00;25.60;3.35;2;;4;1;3;yard;2024-10-28 23:23:57.469278;2024-11-01 14:47:48.183547
144;237406753;no;69.90;;;;;;2;1;2;;2024-10-28 23:29:09.334869;2024-11-01 14:47:50.089703
145;237949570;cosmetic;62.60;38.90;8.10;2.64;;1;3;1;;;2024-10-28 23:29:34.313331;2024-11-01 14:47:50.906326
146;238255986;design;600.00;;;;;;5;;1;yard;2024-10-28 23:29:49.861426;2024-11-01 14:47:51.785198
147;238622072;;112.00;85.00;20.00;;;;3;;;yard;2024-10-28 23:30:18.947882;2024-11-01 14:47:52.460807
148;238657724;euro;82.00;54.00;10.00;2.74;;2;3;1;;yard;2024-10-28 23:30:42.180746;2024-11-01 14:48:00.980570
149;238813311;;190.11;;;;;;5;;;;2024-10-28 23:31:00.583761;2024-11-01 14:48:01.914654
150;239000665;design;340.00;248.00;20.00;;;;4;2;;street;2024-10-28 23:31:30.949569;2024-11-01 14:48:02.836679
